group,steps,track,mode,episodes,reward_mean,reward_std,len_mean,goal_rate,flip_rate,lost_rate,timeout_rate
checkpoint_sweep,100000,oval,seg,10,-187.88,1.37,1875.0,0.00,0.00,0.00,1.00
checkpoint_sweep,300000,oval,seg,10,-6.79,8.42,173.7,0.00,1.00,0.00,0.00
checkpoint_sweep,500000,oval,seg,10,-8.52,33.16,324.4,0.00,1.00,0.00,0.00
checkpoint_sweep,700000,oval,seg,10,18.49,49.09,422.7,0.10,0.90,0.00,0.00
checkpoint_sweep,900000,oval,seg,10,46.96,62.99,587.0,0.30,0.70,0.00,0.00
checkpoint_sweep,1000000,oval,seg,10,35.64,50.14,511.7,0.20,0.80,0.00,0.00
perception,,oval,mask,10,37.94,44.45,550.1,0.20,0.80,0.00,0.00
perception,,oval,seg,10,30.10,53.83,559.6,0.20,0.80,0.00,0.00
track_gen,,straight,seg,10,-17.80,62.94,543.9,0.10,0.90,0.00,0.00
track_gen,,oval,seg,10,18.72,70.37,660.5,0.20,0.80,0.00,0.00
track_gen,,s_curve,seg,10,3.81,37.82,356.3,0.20,0.80,0.00,0.00
track_gen,,zigzag,seg,10,1.62,26.04,373.6,0.00,1.00,0.00,0.00
